GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AEMMETSW,model.carrelloService,CarrelloDAO,0,257,2,14,0,74,2,13,0,7
AEMMETSW,model.carrelloService,RigaCarrelloDAO,0,262,1,13,0,78,1,13,0,7
AEMMETSW,model.carrelloService,Carrello,0,31,0,0,0,13,0,9,0,9
AEMMETSW,model.carrelloService,RigaCarrello,0,24,0,0,0,10,0,7,0,7
AEMMETSW,controller,InitServlet,18,0,0,0,6,0,2,0,2,0
AEMMETSW,model.gestoreService,Gestore,0,17,0,0,0,7,0,5,0,5
AEMMETSW,model.gestoreService,GestoreDAO,0,189,1,11,0,58,1,11,0,6
AEMMETSW,controller.admin.gestisciOrdini,CambiaGestore,0,36,0,0,0,9,0,2,0,2
AEMMETSW,controller.admin.gestisciOrdini,GestisciOrdiniByUtente,0,39,0,0,0,10,0,2,0,2
AEMMETSW,controller.admin.gestisciOrdini,EliminaOrdine,0,27,0,0,0,7,0,2,0,2
AEMMETSW,controller.admin.gestisciOrdini,GestisciOrdiniServlet,0,42,0,4,0,10,0,4,0,2
AEMMETSW,controller.admin.gestisciOrdini,ModificaStato,0,62,0,6,0,17,0,5,0,2
AEMMETSW,controller.admin.gestisciOrdini,ModificaMatricolaSupporto,0,83,0,6,0,20,0,5,0,2
AEMMETSW,model.ordineService,RigaOrdine,0,31,0,0,0,13,0,9,0,9
AEMMETSW,model.ordineService,OrdineDAO,0,468,1,25,0,131,1,23,0,11
AEMMETSW,model.ordineService,RigaOrdineDAO,0,241,1,11,0,72,1,12,0,7
AEMMETSW,model.ordineService,Ordine,0,87,0,0,0,37,0,25,0,25
AEMMETSW,model.utenteService,UtenteDAO,88,550,13,33,21,153,9,28,1,13
AEMMETSW,model.utenteService,Utente,6,65,0,0,2,24,0,12,0,12
AEMMETSW,controller.utente.ordine,OrdineServlet,46,345,10,16,8,80,9,11,0,7
AEMMETSW,controller.utente.ordine,RiepilogoOrdine,3,55,1,3,0,16,1,4,0,3
AEMMETSW,controller.utente.ordine,OrdineSupporto,8,69,1,7,2,19,1,5,0,2
AEMMETSW,controller.utente.ordine,VisualizzaOrdini,3,52,1,3,0,15,1,4,0,3
AEMMETSW,controller.utente.ordine,Pagamento,18,219,13,21,6,45,14,8,1,4
AEMMETSW,controller.utente.ordine,PagamentoEffettuato,34,143,13,15,12,34,14,6,2,4
AEMMETSW,controller.utente.ordine,PuntiServlet,0,104,2,4,0,27,2,3,0,2
AEMMETSW,controller.utente.ordine,ProcediOrdine,21,87,5,5,5,23,4,5,0,4
AEMMETSW,controller.utente.ordine,RimuoviDaOrdine,1,73,4,8,1,20,4,4,0,2
AEMMETSW,controller.admin.gestisciReparti,ModificaRepartoServlet,5,33,1,3,1,10,1,4,0,3
AEMMETSW,controller.admin.gestisciReparti,InsertLibroRepartoServlet,5,47,1,5,1,10,1,5,0,3
AEMMETSW,controller.admin.gestisciReparti,AggiornaRepartoServlet,5,74,1,13,1,20,1,9,0,3
AEMMETSW,controller.admin.gestisciReparti,AggiungiRepartoServletAppoggio,12,0,0,0,4,0,2,0,2,0
AEMMETSW,controller.admin.gestisciReparti,EliminaRepartoServlet,5,23,1,1,1,8,1,3,0,3
AEMMETSW,controller.admin.gestisciReparti,AggiungiLibroRepartoServlet,10,70,2,6,2,19,2,6,0,4
AEMMETSW,controller.admin.gestisciReparti,GestisciRepartiServlet,5,27,1,1,1,9,1,3,0,3
AEMMETSW,controller.admin.gestisciReparti,AggiungiRepartoServlet,5,116,1,25,1,30,1,15,0,3
AEMMETSW,controller.HomePage,CarrelloServlet,0,64,0,6,0,19,0,5,0,2
AEMMETSW,controller.HomePage,ShowWishList,0,41,0,4,0,13,0,4,0,2
AEMMETSW,controller.HomePage,HomePageServlet,0,99,0,12,0,26,0,8,0,2
AEMMETSW,controller.HomePage,AboutUsServlet,12,0,0,0,4,0,2,0,2,0
AEMMETSW,controller.HomePage,MostraRepartoServlet,0,106,0,10,0,30,0,7,0,2
AEMMETSW,controller.HomePage,ServiziServlet,12,0,0,0,4,0,2,0,2,0
AEMMETSW,controller.HomePage,AreaPersonaleServlet,0,42,0,6,0,14,0,6,0,3
AEMMETSW,controller.admin.gestisciProdotti,NuovoLibroServlet,1,327,11,55,0,80,11,28,0,6
AEMMETSW,controller.admin.gestisciProdotti,AggiungiLibroSede,0,49,0,4,0,11,0,4,0,2
AEMMETSW,controller.admin.gestisciProdotti,NuovoProdottoServletAppoggio,12,0,0,0,4,0,2,0,2,0
AEMMETSW,controller.admin.gestisciProdotti,EliminaLibroReparto,5,33,1,1,1,10,1,3,0,3
AEMMETSW,controller.admin.gestisciProdotti,ModificaLibroServlet,0,115,0,8,0,28,0,7,0,3
AEMMETSW,controller.admin.gestisciProdotti,AggiornaLibroServlet,5,150,9,13,2,42,10,5,1,3
AEMMETSW,controller.admin.gestisciProdotti,NonDisponibile,0,30,0,0,0,9,0,2,0,2
AEMMETSW,controller.admin.gestisciProdotti,AggiungiLibroReparto,0,49,0,4,0,11,0,4,0,2
AEMMETSW,controller.admin.gestisciProdotti,EliminaLibroSede,5,33,1,1,1,10,1,3,0,3
AEMMETSW,controller.admin.gestisciProdotti,Disponibile,0,30,0,0,0,9,0,2,0,2
AEMMETSW,controller.admin.gestisciProdotti,GestisciProdottiServlet,0,32,0,0,0,10,0,3,0,3
AEMMETSW,model.tesseraService,TesseraDAO,0,340,2,16,0,93,2,15,0,8
AEMMETSW,model.tesseraService,Tessera,0,38,0,0,0,16,0,11,0,11
AEMMETSW,controller.utils,Validator,3,11,0,4,1,1,1,3,1,1
AEMMETSW,controller.admin,AreaPersonaleAdmin,32,0,4,0,10,0,5,0,3,0
AEMMETSW,model.wishList,WishListDAO,6,146,0,8,2,49,1,9,1,5
AEMMETSW,model.wishList,WishList,5,26,1,1,1,10,1,6,0,6
AEMMETSW,controller.admin.gestisciSedi,InsertLibroSedeServlet,0,42,0,4,0,8,0,4,0,2
AEMMETSW,controller.admin.gestisciSedi,EliminaSedeServlet,0,19,0,0,0,6,0,2,0,2
AEMMETSW,controller.admin.gestisciSedi,AggiungiSedeServletAppoggio,0,12,0,0,0,4,0,2,0,2
AEMMETSW,controller.admin.gestisciSedi,ModificaSedeServlet,0,24,0,0,0,7,0,2,0,2
AEMMETSW,controller.admin.gestisciSedi,GestisciSediServlet,0,23,0,0,0,7,0,2,0,2
AEMMETSW,controller.admin.gestisciSedi,AggiungiSedeServlet,0,132,0,28,0,32,0,16,0,2
AEMMETSW,controller.admin.gestisciSedi,AggiungiLibroSedeServlet,0,61,0,4,0,15,0,4,0,2
AEMMETSW,model,ConPool,85,0,6,0,25,0,6,0,3,0
AEMMETSW,controller.utente.supporto,ModificaPasswordSupporto,5,32,0,2,2,10,1,3,1,2
AEMMETSW,controller.utente.supporto,ModificaUtenteSupporto,17,0,0,0,6,0,3,0,3,0
AEMMETSW,controller.utente,ModificaPrefServlet,0,177,5,29,0,43,5,14,0,2
AEMMETSW,controller.utente,ModificaDatiServlet,8,95,2,14,2,23,3,9,1,3
AEMMETSW,controller.utente,MostraLibroServlet,1,125,2,14,1,35,2,8,0,2
AEMMETSW,controller.utente,EliminaAccount,3,32,1,1,0,10,1,3,0,3
AEMMETSW,controller.utente,LogoutServlet,43,186,11,27,6,39,10,15,0,6
AEMMETSW,controller.utente,ModificaTipoServlet,5,96,2,4,2,24,3,3,1,2
AEMMETSW,controller.utente,RicercaServlet,6,74,2,6,1,23,2,6,0,4
AEMMETSW,controller.utente,AggiornaCartServlet,18,105,1,9,6,31,2,6,1,2
AEMMETSW,controller.utente,AggiungiAiPrefServlet,5,137,3,13,2,32,4,8,1,3
AEMMETSW,controller.utente,AggiungiCartServlet,13,150,7,17,3,40,7,7,0,2
AEMMETSW,controller.utente,RimuoviTelefonoServlet,3,113,3,7,0,30,3,5,0,3
AEMMETSW,controller.utente,RimuoviDalCartServlet,9,91,1,7,3,25,2,5,1,2
AEMMETSW,controller.utente,LoginServlet,14,206,4,32,2,48,5,19,1,5
AEMMETSW,controller.utente,SearchBarServlet,3,104,3,9,0,25,3,6,0,3
AEMMETSW,controller.utente,RegistroUtente,5,326,14,34,2,77,15,16,1,6
AEMMETSW,controller.utente,ModificaPasswordServlet,8,55,2,6,2,15,3,5,1,3
AEMMETSW,model.libroService,AutoreDAO,0,167,1,9,0,51,1,9,0,5
AEMMETSW,model.libroService,SedeDAO,26,477,4,24,7,139,4,21,0,11
AEMMETSW,model.libroService,Sede,2,92,6,10,0,22,6,16,0,14
AEMMETSW,model.libroService,Reparto,2,68,3,7,0,20,3,14,0,12
AEMMETSW,model.libroService,RepartoDAO,19,458,3,25,7,133,3,22,0,11
AEMMETSW,model.libroService,Autore,0,24,0,0,0,10,0,7,0,7
AEMMETSW,model.libroService,Libro,2,94,2,4,0,35,2,23,0,22
AEMMETSW,model.libroService,LibroDAO,83,731,2,40,26,194,2,33,0,14
